scalar,RGB_r,RGB_g,RGB_b
0.821917808219,230,123,96
0.823874755382,229,122,95
0.825831702544,229,121,94
0.827788649706,229,120,94
0.829745596869,228,119,93
0.831702544031,228,118,92
0.833659491194,227,117,91
0.835616438356,227,116,91
0.837573385519,227,115,90
0.839530332681,226,114,89
0.841487279843,226,113,89
0.843444227006,225,112,88
0.845401174168,225,111,87
0.847358121331,224,110,87
0.849315068493,224,109,86
0.851272015656,224,108,85
0.853228962818,223,108,84
0.85518590998,223,107,84
0.857142857143,222,106,83
0.859099804305,222,105,82
0.861056751468,221,104,82
0.86301369863,221,103,81
0.864970645793,220,102,80
0.866927592955,220,101,80
0.868884540117,219,100,79
0.87084148728,219,99,78
0.872798434442,218,98,78
0.874755381605,218,97,77
0.876712328767,217,96,76
0.87866927593,217,95,76
0.880626223092,216,94,75
0.882583170254,216,92,74
0.884540117417,215,91,74
0.886497064579,215,90,73
0.888454011742,214,89,72
0.890410958904,214,88,72
0.892367906067,213,87,71
0.894324853229,213,86,71
0.896281800391,212,85,70
0.898238747554,211,84,69
0.900195694716,211,83,69
0.902152641879,210,82,68
0.904109589041,210,81,67
0.906066536204,209,80,67
0.908023483366,209,79,66
0.909980430528,208,77,65
0.911937377691,207,76,65
0.913894324853,207,75,64
0.915851272016,206,74,64
0.917808219178,206,73,63
0.919765166341,205,72,62
0.921722113503,205,71,62
0.923679060665,204,70,61
0.925636007828,203,68,61
0.92759295499,203,67,60
0.929549902153,202,66,59
0.931506849315,201,65,59
0.933463796477,201,64,58
0.93542074364,200,62,58
0.937377690802,200,61,57
0.939334637965,199,60,56
0.941291585127,198,59,56
0.94324853229,198,57,55
0.945205479452,197,56,55
0.947162426614,196,55,54
0.949119373777,196,54,53
0.951076320939,195,52,53
0.953033268102,194,51,52
0.954990215264,194,50,52
0.956947162427,193,48,51
0.958904109589,192,47,51
0.960861056751,192,45,50
0.962818003914,191,44,50
0.964774951076,190,42,49
0.966731898239,190,41,48
0.968688845401,189,39,48
0.970645792564,188,38,47
0.972602739726,187,36,47
0.974559686888,187,34,46
0.976516634051,186,33,46
0.978473581213,185,31,45
0.980430528376,185,29,45
0.982387475538,184,27,44
0.984344422701,183,25,44
0.986301369863,182,23,43
0.988258317025,182,20,43
0.990215264188,181,18,42
0.99217221135,180,15,41
0.994129158513,179,12,41
0.996086105675,179,8,40
0.998043052838,178,4,40
1.0,177,1,39
